name: 🇺🇸US-37.19.198.243-0355 | type: ss | name: 🇺🇸US-37.19.198.243-0355 | type: ss | id: 354 | remarks: 🇺🇸US-207.246.101.50-0392 | protocol: ss | ping: 10 MS | avg_speed: 171.48 MB | max_speed: 170.488 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvX0E3aW5OMXlxZVd0T1RM@207.246.101.50:1633#%F0%9F%87%BA%F0%9F%87%B8US-207.246.101.50-0392
name: 🇺🇸US-156.146.38.168-0352 | type: ss | name: 🇺🇸US-156.146.38.168-0352 | type: ss | id: 323 | remarks: 🇺🇸US-107.155.57.51-0361 | protocol: ss | ping: 20 MS | avg_speed: 87.357 MB | max_speed: 87.625 MB | Link: ss://cmM0LW1kNToxNGZGUHJiZXpFM0hEWnpzTU9yNg==@107.155.57.51:8080#%F0%9F%87%BA%F0%9F%87%B8US-107.155.57.51-0361
name: 🇺🇸US-156.146.38.167-0357 | type: ss | name: 🇺🇸US-156.146.38.167-0357 | type: ss | id: 317 | remarks: 🇺🇸US-212.102.47.131-0355 | protocol: ss | ping: 36 MS | avg_speed: 86.768 MB | max_speed: 88.497 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.131:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.131-0355
name: 🇨🇦CA-23.162.200.227-8441 | type: vmess | name: 🇨🇦CA-23.162.200.227-8441 | type: vmess | id: 914 | remarks: 🏁RELAY-104.21.32.1-1338 | protocol: vmess | ping: 30 MS | avg_speed: 86.444 MB | max_speed: 87.024 MB | Link: vmess://ewogICAgImFkZCI6ICIxMDQuMjEuMzIuMSIsCiAgICAiYWlkIjogMCwKICAgICJob3N0IjogImZmLmtuY2MyLnRvcCIsCiAgICAiaWQiOiAiODljMzQ0ZjItMDk2Yy00NDVjLWI2MjktOWIxNTE1MmYzOGU3IiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiLzg5YzM0NGYyIiwKICAgICJwb3J0IjogODQ0MywKICAgICJwcyI6ICLwn4+BUkVMQVktMTA0LjIxLjMyLjEtMTMzOCIsCiAgICAidGxzIjogInRscyIsCiAgICAidHlwZSI6ICJhdXRvIiwKICAgICJzZWN1cml0eSI6ICJhdXRvIiwKICAgICJza2lwLWNlcnQtdmVyaWZ5IjogdHJ1ZSwKICAgICJzbmkiOiAiIgp9
name: 🇺🇸US-184.170.241.194-0361 | type: ss | name: 🇺🇸US-184.170.241.194-0361 | type: ss | id: 907 | remarks: 🏁RELAY-104.21.64.1-1321 | protocol: vmess | ping: 29 MS | avg_speed: 85.581 MB | max_speed: 93.125 MB | Link: vmess://ewogICAgImFkZCI6ICIxMDQuMjEuNjQuMSIsCiAgICAiYWlkIjogMCwKICAgICJob3N0IjogImZmLmtuY2MyLnRvcCIsCiAgICAiaWQiOiAiODljMzQ0ZjItMDk2Yy00NDVjLWI2MjktOWIxNTE1MmYzOGU3IiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiLzg5YzM0NGYyIiwKICAgICJwb3J0IjogODQ0MywKICAgICJwcyI6ICLwn4+BUkVMQVktMTA0LjIxLjY0LjEtMTMyMSIsCiAgICAidGxzIjogInRscyIsCiAgICAidHlwZSI6ICJhdXRvIiwKICAgICJzZWN1cml0eSI6ICJhdXRvIiwKICAgICJza2lwLWNlcnQtdmVyaWZ5IjogdHJ1ZSwKICAgICJzbmkiOiAiIgp9
name: 🇺🇸US-64.74.163.130-0358 | type: ss | name: 🇺🇸US-64.74.163.130-0358 | type: ss | id: 2843 | remarks: 🇺🇸US-38.14.107.226-5863 | protocol: vmess | ping: 36 MS | avg_speed: 78.607 MB | max_speed: 80.858 MB | Link: vmess://ewogICAgImFkZCI6ICIzOC4xNC4xMDcuMjI2IiwKICAgICJhaWQiOiA2NCwKICAgICJob3N0IjogIiIsCiAgICAiaWQiOiAiNDE4MDQ4YWYtYTI5My00Yjk5LTliMGMtOThjYTM1ODBkZDI0IiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiL3BhdGgvMzQwNDM0MTMwMDMyIiwKICAgICJwb3J0IjogMzgwMDMsCiAgICAicHMiOiAi8J+HuvCfh7hVUy0zOC4xNC4xMDcuMjI2LTU4NjMiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
name: 🇺🇸US-142.171.106.180-1449 | type: vmess | name: 🇺🇸US-142.171.106.180-1449 | type: vmess | id: 329 | remarks: 🇺🇸US-35.94.52.140-0367 | protocol: ss | ping: 61 MS | avg_speed: 69.227 MB | max_speed: 74.807 MB | Link: ss://YWVzLTI1Ni1jZmI6YW1hem9uc2tyMDU=@35.94.52.140:443#%F0%9F%87%BA%F0%9F%87%B8US-35.94.52.140-0367
name: 🇺🇸US-173.244.56.6-0364 | type: ss | name: 🇺🇸US-173.244.56.6-0364 | type: ss | id: 328 | remarks: 🇺🇸US-35.89.145.123-0366 | protocol: ss | ping: 166 MS | avg_speed: 67.042 MB | max_speed: 76.955 MB | Link: ss://YWVzLTI1Ni1jZmI6YW1hem9uc2tyMDU=@35.89.145.123:443#%F0%9F%87%BA%F0%9F%87%B8US-35.89.145.123-0366
name: 🇺🇸US-212.102.47.131-0365 | type: ss | name: 🇺🇸US-212.102.47.131-0365 | type: ss | id: 318 | remarks: 🇨🇦CA-149.22.95.183-0356 | protocol: ss | ping: 50 MS | avg_speed: 65.598 MB | max_speed: 78.943 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@149.22.95.183:443#%F0%9F%87%A8%F0%9F%87%A6CA-149.22.95.183-0356
name: 🇺🇸US-154.3.8.151-0369 | type: ss | name: 🇺🇸US-154.3.8.151-0369 | type: ss | id: 324 | remarks: 🇺🇸US-154.3.8.151-0362 | protocol: ss | ping: 11 MS | avg_speed: 65.487 MB | max_speed: 68.953 MB | Link: ss://YWVzLTI1Ni1nY206aVVCMDkyM1JCQQ==@154.3.8.151:30067#%F0%9F%87%BA%F0%9F%87%B8US-154.3.8.151-0362
name: IE-34.249.27.139-0926 | type: trojan | name: IE-34.249.27.139-0926 | type: trojan | id: 606 | remarks: 🇺🇸US-35.94.25.109-0718 | protocol: ss | ping: 348 MS | avg_speed: 62.872 MB | max_speed: 78.497 MB | Link: ss://YWVzLTI1Ni1jZmI6YW1hem9uc2tyMDU=@35.94.25.109:443#%F0%9F%87%BA%F0%9F%87%B8US-35.94.25.109-0718
name: 🇺🇸US-212.102.47.130-0363 | type: ss | name: 🇺🇸US-212.102.47.130-0363 | type: ss | id: 301 | remarks: 🇺🇸US-138.199.42.68-0339 | protocol: ss | ping: 51 MS | avg_speed: 57.372 MB | max_speed: 63.743 MB | Link: ss://cmM0LW1kNToxNGZGUHJiZXpFM0hEWnpzTU9yNg==@138.199.42.68:8080#%F0%9F%87%BA%F0%9F%87%B8US-138.199.42.68-0339
name: 🇺🇸US-148.135.31.61-1450 | type: vmess | name: 🇺🇸US-148.135.31.61-1450 | type: vmess | id: 4462 | remarks: 🇺🇸US-38.91.106.227-8690 | protocol: vmess | ping: 54 MS | avg_speed: 54.844 MB | max_speed: 59.899 MB | Link: vmess://ewogICAgImFkZCI6ICIzOC45MS4xMDYuMjI3IiwKICAgICJhaWQiOiAwLAogICAgImhvc3QiOiAid3JtZWxtd3hsZi5na3RldmxycXpud3Fxb3p5LmZhYnBmczY2Z2l6bW5vamhjdnF4d2wua3l0cmNmenFsYTg3Z3ZndnM2Yzdram5ydWJ1aC5jYyIsCiAgICAiaWQiOiAiMDNmY2M2MTgtYjkzZC02Nzk2LTZhZWQtOGEzOGM5NzVkNTgxIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiL2xpbmt2d3MiLAogICAgInBvcnQiOiA0NDMsCiAgICAicHMiOiAi8J+HuvCfh7hVUy0zOC45MS4xMDYuMjI3LTg2OTAiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
name: 🇺🇸US-107.155.57.51-0368 | type: ss | name: 🇺🇸US-107.155.57.51-0368 | type: ss | id: 340 | remarks: 🇺🇸US-79.110.53.169-0378 | protocol: ss | ping: 73 MS | avg_speed: 50.556 MB | max_speed: 53.906 MB | Link: ss://cmM0LW1kNToxNGZGUHJiZXpFM0hEWnpzTU9yNg==@79.110.53.169:8080#%F0%9F%87%BA%F0%9F%87%B8US-79.110.53.169-0378
name: 🇺🇸US-107.155.57.11-0370 | type: ss | name: 🇺🇸US-107.155.57.11-0370 | type: ss | id: 4499 | remarks: 🇫🇷FR-45.145.165.113-8744 | protocol: vmess | ping: 71 MS | avg_speed: 50.545 MB | max_speed: 64.734 MB | Link: vmess://ewogICAgImFkZCI6ICJobXMxOS5iZXN0LXRpemkudG9wIiwKICAgICJhaWQiOiAwLAogICAgImhvc3QiOiAiaG1zMTkuYmVzdC10aXppLnRvcCIsCiAgICAiaWQiOiAiNjJhYTVmODAtMDMyOC00MDA0LWEzNzUtN2Y1YTU5ZGY0MDIyIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiL2xpbmt3cyIsCiAgICAicG9ydCI6IDQ0MywKICAgICJwcyI6ICLwn4er8J+Ht0ZSLTQ1LjE0NS4xNjUuMTEzLTg3NDQiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IGZhbHNlLAogICAgInNuaSI6ICJobXMxOS5iZXN0LXRpemkudG9wIgp9
name: 🇺🇸US-137.175.113.192-0384 | type: ss | name: 🇺🇸US-137.175.113.192-0384 | type: ss | id: 304 | remarks: 🇺🇸US-37.19.198.236-0342 | protocol: ss | ping: 66 MS | avg_speed: 50.314 MB | max_speed: 57.281 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.236:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.236-0342
name: 🇺🇸US-142.4.99.23-1454 | type: vmess | name: 🇺🇸US-142.4.99.23-1454 | type: vmess | id: 4463 | remarks: 🇺🇸US-38.99.82.203-8691 | protocol: vmess | ping: 163 MS | avg_speed: 48.736 MB | max_speed: 53.188 MB | Link: vmess://ewogICAgImFkZCI6ICIzOC45OS44Mi4yMDMiLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICIzOC45OS44Mi4yMDMiLAogICAgImlkIjogIjAzZmNjNjE4LWI5M2QtNjc5Ni02YWVkLThhMzhjOTc1ZDU4MSIsCiAgICAibmV0IjogIndzIiwKICAgICJwYXRoIjogIi9saW5rdndzIiwKICAgICJwb3J0IjogNDQzLAogICAgInBzIjogIvCfh7rwn4e4VVMtMzguOTkuODIuMjAzLTg2OTEiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
name: 🇨🇦CA-149.22.95.183-0367 | type: ss | name: 🇨🇦CA-149.22.95.183-0367 | type: ss | id: 2851 | remarks: 🇺🇸US-38.99.82.203-5871 | protocol: vmess | ping: 69 MS | avg_speed: 48.44 MB | max_speed: 54.966 MB | Link: vmess://ewogICAgImFkZCI6ICIzOC45OS44Mi4yMDMiLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICIiLAogICAgImlkIjogIjAzZmNjNjE4LWI5M2QtNjc5Ni02YWVkLThhMzhjOTc1ZDU4MSIsCiAgICAibmV0IjogIndzIiwKICAgICJwYXRoIjogIi9saW5rdndzIiwKICAgICJwb3J0IjogNDQzLAogICAgInBzIjogIvCfh7rwn4e4VVMtMzguOTkuODIuMjAzLTU4NzEiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
name: 🇺🇸US-23.251.121.242-0366 | type: ss | name: 🇺🇸US-23.251.121.242-0366 | type: ss | id: 311 | remarks: 🇺🇸US-194.5.215.59-0349 | protocol: ss | ping: 60 MS | avg_speed: 47.909 MB | max_speed: 55.336 MB | Link: ss://cmM0LW1kNToxNGZGUHJiZXpFM0hEWnpzTU9yNg==@194.5.215.59:8080#%F0%9F%87%BA%F0%9F%87%B8US-194.5.215.59-0349
name: 🇺🇸US-192.74.232.105-1443 | type: vmess | name: 🇺🇸US-192.74.232.105-1443 | type: vmess | id: 303 | remarks: 🇺🇸US-37.19.198.160-0341 | protocol: ss | ping: 64 MS | avg_speed: 47.119 MB | max_speed: 53.914 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.160:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.160-0341
name: RELAY-104.21.96.1-0888 | type: vmess | name: RELAY-104.21.96.1-0888 | type: vmess | id: 4447 | remarks: 🇨🇦CA-23.162.200.227-8668 | protocol: vmess | ping: 65 MS | avg_speed: 47.109 MB | max_speed: 52.535 MB | Link: vmess://ewogICAgImFkZCI6ICIyMy4xNjIuMjAwLjIyNyIsCiAgICAiYWlkIjogMCwKICAgICJob3N0IjogIiIsCiAgICAiaWQiOiAiMDNmY2M2MTgtYjkzZC02Nzk2LTZhZWQtOGEzOGM5NzVkNTgxIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiL2xpbmt2d3MiLAogICAgInBvcnQiOiA0NDMsCiAgICAicHMiOiAi8J+HqPCfh6ZDQS0yMy4xNjIuMjAwLjIyNy04NjY4IiwKICAgICJ0bHMiOiAidGxzIiwKICAgICJ0eXBlIjogImF1dG8iLAogICAgInNlY3VyaXR5IjogImF1dG8iLAogICAgInNraXAtY2VydC12ZXJpZnkiOiB0cnVlLAogICAgInNuaSI6ICIiCn0=
name: 🇬🇧GB-212.102.53.196-0508 | type: ss | name: 🇬🇧GB-212.102.53.196-0508 | type: ss | id: 306 | remarks: 🇺🇸US-37.19.198.244-0344 | protocol: ss | ping: 66 MS | avg_speed: 47.071 MB | max_speed: 54.99 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.244:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.244-0344
name: 🇬🇧GB-212.102.53.81-0506 | type: ss | name: 🇬🇧GB-212.102.53.81-0506 | type: ss | id: 305 | remarks: 🇺🇸US-37.19.198.243-0343 | protocol: ss | ping: 63 MS | avg_speed: 46.748 MB | max_speed: 52.303 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.243:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.243-0343
name: 🇬🇧GB-212.102.53.79-0517 | type: ss | name: 🇬🇧GB-212.102.53.79-0517 | type: ss | id: 729 | remarks: 🏁RELAY-104.17.221.248-0871 | protocol: vmess | ping: 41 MS | avg_speed: 45.534 MB | max_speed: 52.776 MB | Link: vmess://ewogICAgImFkZCI6ICJ4eXoubWlrZWhhbmQuaXAtZGRucy5jb20iLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICJ1c+Wco+S9leWhni1vcmFjbGXlrbXljJbln7rlnLAueXVnaW9oY3l6LmdnZmYubmV0IiwKICAgICJpZCI6ICJlZTdjOTlkNS05YjYyLTRkMjItYmU4MS04YjgzZTFmOGQxYmUiLAogICAgIm5ldCI6ICJ3cyIsCiAgICAicGF0aCI6ICIvYXJnb3gtdm0iLAogICAgInBvcnQiOiA0NDMsCiAgICAicHMiOiAi8J+PgVJFTEFZLTEwNC4xNy4yMjEuMjQ4LTA4NzEiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
name: 🇺🇸US-45.55.2.232-0376 | type: ss | name: 🇺🇸US-45.55.2.232-0376 | type: ss | id: 335 | remarks: 🇺🇸US-45.55.2.232-0373 | protocol: ss | ping: 22 MS | avg_speed: 40.922 MB | max_speed: 43.502 MB | Link: ss://YWVzLTI1Ni1jZmI6MjE3MGY4@45.55.2.232:14293#%F0%9F%87%BA%F0%9F%87%B8US-45.55.2.232-0373
name: 🇬🇧GB-212.102.53.197-0516 | type: ss | name: 🇬🇧GB-212.102.53.197-0516 | type: ss | id: 590 | remarks: 🇯🇵JP-54.238.51.157-0698 | protocol: trojan | ping: 247 MS | avg_speed: 34.104 MB | max_speed: 38.544 MB | Link: trojan://243eab52-9ac1-405c-887c-eb112c0985b8@sg02.trojanyyds.xyz:443?security=tls&sni=sg02.trojanyyds.xyz#%F0%9F%87%AF%F0%9F%87%B5JP-54.238.51.157-0698
name: 🇬🇧GB-212.102.53.80-0518 | type: ss | name: 🇬🇧GB-212.102.53.80-0518 | type: ss | id: 315 | remarks: 🇺🇸US-92.118.112.111-0353 | protocol: ss | ping: 168 MS | avg_speed: 33.909 MB | max_speed: 45.21 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprdW45b0ZEN255c2txaEhzQ1hYeFg5@92.118.112.111:18622#%F0%9F%87%BA%F0%9F%87%B8US-92.118.112.111-0353
name: 🇬🇧GB-212.102.53.78-0515 | type: ss | name: 🇬🇧GB-212.102.53.78-0515 | type: ss | id: 708 | remarks: 🇯🇵JP-74.226.136.204-0841 | protocol: trojan | ping: 189 MS | avg_speed: 32.3 MB | max_speed: 38.481 MB | Link: trojan://243eab52-9ac1-405c-887c-eb112c0985b8@74.226.136.204:443?security=tls&sni=tw02.trojanyyds.xyz#%F0%9F%87%AF%F0%9F%87%B5JP-74.226.136.204-0841
name: 🇺🇸US-38.14.107.226-5917 | type: vmess | name: 🇺🇸US-38.14.107.226-5917 | type: vmess | id: 589 | remarks: 🇯🇵JP-74.226.136.204-0697 | protocol: trojan | ping: 181 MS | avg_speed: 31.768 MB | max_speed: 38.163 MB | Link: trojan://243eab52-9ac1-405c-887c-eb112c0985b8@tw02.trojanyyds.xyz:443?security=tls&sni=tw02.trojanyyds.xyz#%F0%9F%87%AF%F0%9F%87%B5JP-74.226.136.204-0697
name: 🇬🇧GB-212.102.53.198-0514 | type: ss | name: 🇬🇧GB-212.102.53.198-0514 | type: ss | id: 358 | remarks: 🇺🇸US-38.110.1.111-0396 | protocol: ss | ping: 50 MS | avg_speed: 31.72 MB | max_speed: 34.372 MB | Link: ss://YWVzLTI1Ni1nY206S2l4THZLendqZWtHMDBybQ==@38.110.1.111:8000#%F0%9F%87%BA%F0%9F%87%B8US-38.110.1.111-0396
name: 🇬🇧GB-3.9.148.45-0916 | type: trojan | name: 🇬🇧GB-3.9.148.45-0916 | type: trojan | id: 325 | remarks: 🇺🇸US-64.74.163.130-0363 | protocol: ss | ping: 119 MS | avg_speed: 31.216 MB | max_speed: 35.425 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@64.74.163.130:990#%F0%9F%87%BA%F0%9F%87%B8US-64.74.163.130-0363
name: 🇺🇸US-35.94.25.109-0382 | type: ss | name: 🇺🇸US-35.94.25.109-0382 | type: ss | id: 4443 | remarks: 🇺🇸US-38.14.107.228-8664 | protocol: vmess | ping: 31 MS | avg_speed: 29.717 MB | max_speed: 44.218 MB | Link: vmess://ewogICAgImFkZCI6ICIzOC4xNC4xMDcuMjI4IiwKICAgICJhaWQiOiA2NCwKICAgICJob3N0IjogInd3dy4yMzE3OTc1My54eXoiLAogICAgImlkIjogIjQxODA0OGFmLWEyOTMtNGI5OS05YjBjLTk4Y2EzNTgwZGQyNCIsCiAgICAibmV0IjogIndzIiwKICAgICJwYXRoIjogIi9wYXRoLzE4MTcyMTI3MjExNCIsCiAgICAicG9ydCI6IDM4MDAzLAogICAgInBzIjogIvCfh7rwn4e4VVMtMzguMTQuMTA3LjIyOC04NjY0IiwKICAgICJ0bHMiOiAidGxzIiwKICAgICJ0eXBlIjogImF1dG8iLAogICAgInNlY3VyaXR5IjogImF1dG8iLAogICAgInNraXAtY2VydC12ZXJpZnkiOiB0cnVlLAogICAgInNuaSI6ICIiCn0=
